question_id,difficulty,llm_provider,rag_mode,is_trap,apr_eligible,pass_auto,matched_phrases,missing_phrases,forbidden_hit,retrieve_ms,latency_total_ms,ttft_ms,gen_tokens_per_sec,response_preview_chars,notes
Q001,easy,ollama,on,false,true,false,,difteria e tétano,false,372.1,16128.3,2918.9,31.693,"Não há informação suficiente no contexto fornecido para responder especificamente sobre as doenças prevenidas pela vacina dT (dTpa) nesta consulta, pois os trechos recuperados focam em outras vacinas ","{""latency_ms"": 16128.3, ""ttft_ms"": 2918.9, ""rag_ms"": 372.088, ""chunks_retrieved"": ""GuiaPreNatalDoParceiro_ProfissionaisSaude_2023#p91:GuiaPreNatalDoParceiro ProfissionaisSaude 2023;ManualGestacaoAltoRisco_2022#p1665:ManualGestacaoAltoRisco 2022;ManualTecnico_PrenatalPuerperio#p286:ManualTecnico PrenatalPuerperio;CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012#p1:CadernosDeAtencaoBasica AtencaoAoPreNatalDeBaixoRisco 2012;ManualTecnico_PrenatalPuerperio#p124:ManualTecnico PrenatalPuerperio;CadernoDeAtencaoAoPreNatal_RiscoHabitual_#p108:CadernoDeAtencaoAoPreNatal RiscoHabitual "", ""response_len"": 1530, ""n_rag_chunks"": 6, ""ollama_total_duration_ns"": 14329633312, ""ollama_eval_count"": 414, ""ollama_eval_duration_ns"": 13062780007, ""gen_tokens_per_sec"": 31.693, ""rag_mode"": ""on""}"
Q001,easy,ollama,off,false,true,false,,difteria e tétano,false,,13482.0,479.7,31.030,A vacina dT protege a gestante contra o tétano e a difteria.  **Com base nos trechos recuperados:** *   Não há informação suficiente no contexto fornecido para citar trechos específicos do documento s,"{""latency_ms"": 13482.0, ""ttft_ms"": 479.7, ""response_len"": 1725, ""ollama_total_duration_ns"": 13381106899, ""ollama_eval_count"": 399, ""ollama_eval_duration_ns"": 12858436596, ""gen_tokens_per_sec"": 31.03, ""rag_mode"": ""off""}"
Q001,easy,gemini,on,false,true,true,difteria e tétano,,false,379.4,4051.9,2945.4,372.494,"Não há informação suficiente nos trechos recuperados para responder à sua pergunta, pois o documento citado (""CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012.pdf"") não consta na base de dad","{""latency_ms"": 4051.9, ""ttft_ms"": 2945.4, ""rag_ms"": 379.353, ""chunks_retrieved"": ""GuiaPreNatalDoParceiro_ProfissionaisSaude_2023#p91:GuiaPreNatalDoParceiro ProfissionaisSaude 2023;CadernoDeAtencaoAoPreNatal_RiscoHabitual_#p142:CadernoDeAtencaoAoPreNatal RiscoHabitual ;ManualTecnico_PrenatalPuerperio#p286:ManualTecnico PrenatalPuerperio;ManualTecnico_PrenatalPuerperio#p143:ManualTecnico PrenatalPuerperio;ManualTecnico_PrenatalPuerperio#p124:ManualTecnico PrenatalPuerperio;ManualGestacaoAltoRisco_2022#p880:ManualGestacaoAltoRisco 2022"", ""response_len"": 1368, ""n_rag_chunks"": 6, ""gen_tokens_per_sec"": 372.494, ""tok_s_estimated"": true, ""rag_mode"": ""on""}"
Q002,easy,ollama,on,false,true,false,,Aplicar vacinas,false,389.3,15296.3,2610.2,32.055,"Não há informação suficiente no contexto fornecido para listar todas as vacinas aplicáveis à gestante segundo o ""CAB 2012"" especificamente, pois os trechos recuperados focam em Hepatite B, Tétano e no","{""latency_ms"": 15296.3, ""ttft_ms"": 2610.2, ""rag_ms"": 389.298, ""chunks_retrieved"": ""ManualTecnico_PrenatalPuerperio#p143:ManualTecnico PrenatalPuerperio;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023#p91:GuiaPreNatalDoParceiro ProfissionaisSaude 2023;ManualTecnico_OficinaAtualizacaoEmPreNatal_ProfissionaisAtencaoBasica_2014#p11:ManualTecnico OficinaAtualizacaoEmPreNatal ProfissionaisAtencaoBasica 2014;CadernoDeAtencaoAoPreNatal_RiscoHabitual_#p102:CadernoDeAtencaoAoPreNatal RiscoHabitual ;CadernoDeAtencaoAoPreNatal_RiscoHabitual_#p108:CadernoDeAtencaoAoPreNatal RiscoHabitual ;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023#p93:GuiaPreNatalDoParceiro ProfissionaisSaude 2023"", ""response_len"": 1564, ""n_rag_chunks"": 6, ""ollama_total_duration_ns"": 13717587264, ""ollama_eval_count"": 402, ""ollama_eval_duration_ns"": 12541018301, ""gen_tokens_per_sec"": 32.055, ""rag_mode"": ""on""}"
Q002,easy,ollama,off,false,true,false,,Aplicar vacinas,false,,10461.6,433.0,32.363,"**Com base nos trechos recuperados:** Não há informação suficiente no contexto fornecido para citar o ""CAB 2012"" especificamente, pois o modo atual de operação não injeta trechos das cartilhas do Mini","{""latency_ms"": 10461.6, ""ttft_ms"": 433.0, ""response_len"": 1255, ""ollama_total_duration_ns"": 10385688783, ""ollama_eval_count"": 321, ""ollama_eval_duration_ns"": 9918643696, ""gen_tokens_per_sec"": 32.363, ""rag_mode"": ""off""}"
Q002,easy,gemini,on,false,true,false,,Aplicar vacinas,false,376.3,3863.1,2631.6,443.669,"O profissional deve verificar a situação vacinal da gestante através do cartão de vacina e completar o esquema vacinal conforme o Calendário Nacional de Imunização [1], [5].  **Com base nos trechos re","{""latency_ms"": 3863.1, ""ttft_ms"": 2631.6, ""rag_ms"": 376.264, ""chunks_retrieved"": ""ManualTecnico_PrenatalPuerperio#p143:ManualTecnico PrenatalPuerperio;CadernoDeAtencaoAoPreNatal_RiscoHabitual_#p102:CadernoDeAtencaoAoPreNatal RiscoHabitual ;ManualTecnico_OficinaAtualizacaoEmPreNatal_ProfissionaisAtencaoBasica_2014#p11:ManualTecnico OficinaAtualizacaoEmPreNatal ProfissionaisAtencaoBasica 2014;ManualGestacaoAltoRisco_2022#p1660:ManualGestacaoAltoRisco 2022;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023#p91:GuiaPreNatalDoParceiro ProfissionaisSaude 2023;ManualTecnico_PrenatalPuerperio#p140:ManualTecnico PrenatalPuerperio"", ""response_len"": 1547, ""n_rag_chunks"": 6, ""gen_tokens_per_sec"": 443.669, ""tok_s_estimated"": true, ""rag_mode"": ""on""}"
Q003,easy,ollama,on,false,true,true,acompanhante;parto,,false,371.7,19410.4,3183.0,32.021,"Sim, o GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024.pdf aborda explicitamente o direito ao acompanhante no parto no SUS, fundamentado na Lei nº 11.108/2005 e na Lei nº 14.737/2023.  *   A prese","{""latency_ms"": 19410.4, ""ttft_ms"": 3183.0, ""rag_ms"": 371.71, ""chunks_retrieved"": ""CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012#p100:CadernosDeAtencaoBasica AtencaoAoPreNatalDeBaixoRisco 2012;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024#p268:GuiaDoPreNatal PuerperioNaAtencaoPrimariaSaude 2024;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024#p156:GuiaDoPreNatal PuerperioNaAtencaoPrimariaSaude 2024;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023#p58:GuiaPreNatalDoParceiro ProfissionaisSaude 2023;ManualTecnico_PrenatalPuerperio#p654:ManualTecnico PrenatalPuerperio;ManualTecnico_PrenatalPuerperio#p486:ManualTecnico PrenatalPuerperio"", ""response_len"": 2013, ""n_rag_chunks"": 6, ""ollama_total_duration_ns"": 17286069483, ""ollama_eval_count"": 514, ""ollama_eval_duration_ns"": 16052157660, ""gen_tokens_per_sec"": 32.021, ""rag_mode"": ""on""}"
Q003,easy,ollama,off,false,true,true,acompanhante;parto,,false,,14414.0,445.1,32.356,"Sim, o Guia do Pré-Natal e Puerpério na Atenção Primária à Saúde (2024) aborda explicitamente o direito ao acompanhante no parto no SUS, garantindo a presença de uma pessoa de escolha da gestante dura","{""latency_ms"": 14414.0, ""ttft_ms"": 445.1, ""response_len"": 1982, ""ollama_total_duration_ns"": 14337919582, ""ollama_eval_count"": 447, ""ollama_eval_duration_ns"": 13815065363, ""gen_tokens_per_sec"": 32.356, ""rag_mode"": ""off""}"
Q003,easy,gemini,on,false,true,true,acompanhante;parto,,false,372.8,3760.9,2591.9,435.056,"Sim, o guia aborda o direito ao acompanhante, reforçando a legislação vigente e a importância dessa presença para a gestante.  **Com base nos trechos recuperados:** * O direito ao acompanhante durante","{""latency_ms"": 3760.9, ""ttft_ms"": 2591.9, ""rag_ms"": 372.828, ""chunks_retrieved"": ""CadernosDeAtencaoBasica_AtencaoAoPreNatalDeBaixoRisco_2012#p100:CadernosDeAtencaoBasica AtencaoAoPreNatalDeBaixoRisco 2012;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024#p268:GuiaDoPreNatal PuerperioNaAtencaoPrimariaSaude 2024;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024#p156:GuiaDoPreNatal PuerperioNaAtencaoPrimariaSaude 2024;GuiaPreNatalDoParceiro_ProfissionaisSaude_2023#p58:GuiaPreNatalDoParceiro ProfissionaisSaude 2023;ManualTecnico_PrenatalPuerperio#p654:ManualTecnico PrenatalPuerperio;ManualTecnico_PrenatalPuerperio#p486:ManualTecnico PrenatalPuerperio"", ""response_len"": 1474, ""n_rag_chunks"": 6, ""gen_tokens_per_sec"": 435.056, ""tok_s_estimated"": true, ""rag_mode"": ""on""}"
Q004,easy,ollama,on,false,true,false,,enfermeiro(a),false,375.3,12262.4,2275.1,31.482,"A primeira consulta de pré-natal deve ser realizada por profissional médico para a classificação de risco, mas retornos e consultas subsequentes podem ser realizados por enfermeiros.  *   O Ministério","{""latency_ms"": 12262.4, ""ttft_ms"": 2275.1, ""rag_ms"": 375.253, ""chunks_retrieved"": ""ManualTecnico_PrenatalPuerperio#p101:ManualTecnico PrenatalPuerperio;GuiaReferenciaRapida_AtencaoAoPreNatalParaGestantesDeBaixoRisco_ProfissionaisSaude_2013#p94:GuiaReferenciaRapida AtencaoAoPreNatalParaGestantesDeBaixoRisco ProfissionaisSaude 2013;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024#p57:GuiaDoPreNatal PuerperioNaAtencaoPrimariaSaude 2024;ManualTecnico_PrenatalPuerperio#p52:ManualTecnico PrenatalPuerperio;GuiaDoPreNatal_PuerperioNaAtencaoPrimariaSaude_2024#p260:GuiaDoPreNatal PuerperioNaAtencaoPrimariaSaude 2024;GuiaDeAtencaoSaudeDaGestante_CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante_2024#p32:GuiaDeAtencaoSaudeDaGestante CriteriosParaEstratificacaoDeRiscoAcompanhamentoDaGestante 2024"", ""response_len"": 1297, ""n_rag_chunks"": 6, ""ollama_total_duration_ns"": 10889493355, ""ollama_eval_count"": 311, ""ollama_eval_duration_ns"": 9878577003, ""gen_tokens_per_sec"": 31.482, ""rag_mode"": ""on""}"
